SampleID,Plate_number,Plate_name,Plate_position,Site_Name,Sex,Dev_stage,Sample_date,Sample_timing,Site_number,Site_type,Nest_placed_date,Date_extracted,Qiagen_kit,Code,Number_2,Primer,Linker,Linker_2,Combine_1,Combine_2,Combine_3,Decontam,Site_type_Sampling_timing
RF245.117.Plate2.B4.799FMod3.1115R.Comstock.F,2,Plate,B4,Comstock,F,e,5/19/2022,late,6,Residential,4/5/2022,8/3/2022,17,RF245,117,799FMod3.1115R,.,_,Residential_late_Comstock,Residential_late_Comstock_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.118.Plate2.C4.799FMod3.1115R.Comstock.F,2,Plate,C4,Comstock,F,e,5/19/2022,late,6,Residential,4/5/2022,8/3/2022,17,RF245,118,799FMod3.1115R,.,_,Residential_late_Comstock,Residential_late_Comstock_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.119.Plate2.D4.799FMod3.1115R.Comstock.M,2,Plate,D4,Comstock,M,fl,5/19/2022,late,6,Residential,4/5/2022,8/3/2022,17,RF245,119,799FMod3.1115R,.,_,Residential_late_Comstock,Residential_late_Comstock_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.120.Plate2.E4.799FMod3.1115R.Comstock.M,2,Plate,E4,Comstock,M,e,5/19/2022,late,6,Residential,4/5/2022,8/3/2022,17,RF245,120,799FMod3.1115R,.,_,Residential_late_Comstock,Residential_late_Comstock_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.121.Plate2.F4.799FMod3.1115R.Fairbrother.F,2,Plate,F4,Fairbrother,F,e,5/18/2022,late,7,Residential,4/5/2022,8/3/2022,17,RF245,121,799FMod3.1115R,.,_,Residential_late_Fairbrother,Residential_late_Fairbrother_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.122.Plate2.G4.799FMod3.1115R.Fairbrother.F,2,Plate,G4,Fairbrother,F,e,5/18/2022,late,7,Residential,4/5/2022,8/3/2022,17,RF245,122,799FMod3.1115R,.,_,Residential_late_Fairbrother,Residential_late_Fairbrother_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.123.Plate2.H4.799FMod3.1115R.Fairbrother.M,2,Plate,H4,Fairbrother,M,e,5/18/2022,late,7,Residential,4/5/2022,8/3/2022,17,RF245,123,799FMod3.1115R,.,_,Residential_late_Fairbrother,Residential_late_Fairbrother_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.124.Plate2.A5.799FMod3.1115R.Fairbrother.M,2,Plate,A5,Fairbrother,M,e,5/18/2022,late,7,Residential,4/5/2022,8/3/2022,17,RF245,124,799FMod3.1115R,.,_,Residential_late_Fairbrother,Residential_late_Fairbrother_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.125.Plate2.B5.799FMod3.1115R.Fairbrother.F,2,Plate,B5,Fairbrother,F,e,5/18/2022,late,7,Residential,4/5/2022,8/3/2022,17,RF245,125,799FMod3.1115R,.,_,Residential_late_Fairbrother,Residential_late_Fairbrother_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.126.Plate2.C5.799FMod3.1115R.Fairbrother.F,2,Plate,C5,Fairbrother,F,e,5/18/2022,late,7,Residential,4/5/2022,8/3/2022,17,RF245,126,799FMod3.1115R,.,_,Residential_late_Fairbrother,Residential_late_Fairbrother_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.127.Plate2.D5.799FMod3.1115R.Fairbrother.M,2,Plate,D5,Fairbrother,M,e,5/18/2022,late,7,Residential,4/5/2022,8/3/2022,17,RF245,127,799FMod3.1115R,.,_,Residential_late_Fairbrother,Residential_late_Fairbrother_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.128.Plate2.E5.799FMod3.1115R.Fairbrother.M,2,Plate,E5,Fairbrother,M,e,5/18/2022,late,7,Residential,4/5/2022,8/3/2022,17,RF245,128,799FMod3.1115R,.,_,Residential_late_Fairbrother,Residential_late_Fairbrother_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.129.Plate2.F5.799FMod3.1115R.Moreau.F,2,Plate,F5,Moreau,F,e,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17,RF245,129,799FMod3.1115R,.,_,Residential_late_Moreau,Residential_late_Moreau_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.130.Plate2.G5.799FMod3.1115R.Moreau.F,2,Plate,G5,Moreau,F,e,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17,RF245,130,799FMod3.1115R,.,_,Residential_late_Moreau,Residential_late_Moreau_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.131.Plate2.H5.799FMod3.1115R.Moreau.M,2,Plate,H5,Moreau,M,e,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17,RF245,131,799FMod3.1115R,.,_,Residential_late_Moreau,Residential_late_Moreau_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.132.Plate2.A6.799FMod3.1115R.Moreau.M,2,Plate,A6,Moreau,M,e,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17,RF245,132,799FMod3.1115R,.,_,Residential_late_Moreau,Residential_late_Moreau_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.133.Plate2.B6.799FMod3.1115R.Moreau.F,2,Plate,B6,Moreau,F,fl,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17,RF245,133,799FMod3.1115R,.,_,Residential_late_Moreau,Residential_late_Moreau_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.134.Plate2.C6.799FMod3.1115R.Moreau.F,2,Plate,C6,Moreau,F,fl,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17,RF245,134,799FMod3.1115R,.,_,Residential_late_Moreau,Residential_late_Moreau_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.135.Plate2.D6.799FMod3.1115R.Moreau.M,2,Plate,D6,Moreau,M,fl,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17,RF245,135,799FMod3.1115R,.,_,Residential_late_Moreau,Residential_late_Moreau_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.136.Plate2.E6.799FMod3.1115R.Moreau.M,2,Plate,E6,Moreau,M,e,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17,RF245,136,799FMod3.1115R,.,_,Residential_late_Moreau,Residential_late_Moreau_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.001.Plate1.A1.799FMod3.1115R.Tobias.F,1,Plate,A1,Tobias,F,e,5/3/2022,early,9,Residential,4/5/2022,7/27/2022,14,RF245,1,799FMod3.1115R,.,_,Residential_early_Tobias,Residential_early_Tobias_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.002.Plate1.B1.799FMod3.1115R.Tobias.F,1,Plate,B1,Tobias,F,e,5/3/2022,early,9,Residential,4/5/2022,7/27/2022,14,RF245,2,799FMod3.1115R,.,_,Residential_early_Tobias,Residential_early_Tobias_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.003.Plate1.C1.799FMod3.1115R.Tobias.M,1,Plate,C1,Tobias,M,e,5/3/2022,early,9,Residential,4/5/2022,7/27/2022,14,RF245,3,799FMod3.1115R,.,_,Residential_early_Tobias,Residential_early_Tobias_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.004.Plate1.D1.799FMod3.1115R.Tobias.M,1,Plate,D1,Tobias,M,e,5/3/2022,early,9,Residential,4/5/2022,7/27/2022,14,RF245,4,799FMod3.1115R,.,_,Residential_early_Tobias,Residential_early_Tobias_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.005.Plate1.E1.799FMod3.1115R.Tobias.F,1,Plate,E1,Tobias,F,e,5/8/2022,early,9,Residential,4/5/2022,7/27/2022,14,RF245,5,799FMod3.1115R,.,_,Residential_early_Tobias,Residential_early_Tobias_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.006.Plate1.F1.799FMod3.1115R.Tobias.F,1,Plate,F1,Tobias,F,e,5/8/2022,early,9,Residential,4/5/2022,7/27/2022,14,RF245,6,799FMod3.1115R,.,_,Residential_early_Tobias,Residential_early_Tobias_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.007.Plate1.G1.799FMod3.1115R.Tobias.M,1,Plate,G1,Tobias,M,e,5/8/2022,early,9,Residential,4/5/2022,7/27/2022,14,RF245,7,799FMod3.1115R,.,_,Residential_early_Tobias,Residential_early_Tobias_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.008.Plate1.H1.799FMod3.1115R.Tobias.M,1,Plate,H1,Tobias,M,e,5/8/2022,early,9,Residential,4/5/2022,7/27/2022,14,RF245,8,799FMod3.1115R,.,_,Residential_early_Tobias,Residential_early_Tobias_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.009.Plate1.A2.799FMod3.1115R.Moreau.F,1,Plate,A2,Moreau,F,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14,RF245,9,799FMod3.1115R,.,_,Residential_early_Moreau,Residential_early_Moreau_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.010.Plate1.B2.799FMod3.1115R.Moreau.F,1,Plate,B2,Moreau,F,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14,RF245,10,799FMod3.1115R,.,_,Residential_early_Moreau,Residential_early_Moreau_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.011.Plate1.C2.799FMod3.1115R.Moreau.M,1,Plate,C2,Moreau,M,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14,RF245,11,799FMod3.1115R,.,_,Residential_early_Moreau,Residential_early_Moreau_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.012.Plate1.D2.799FMod3.1115R.Moreau.M,1,Plate,D2,Moreau,M,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14,RF245,12,799FMod3.1115R,.,_,Residential_early_Moreau,Residential_early_Moreau_M,Residential_early_Tobias_F_e,Sample,Residential_early
